id,name,artist_genres,artist_image
3vq33dQ6liVEX2sNqMdMS7,Preston Reed,fingerstyle,https://i.scdn.co/image/ab6761610000e5eb47e3fa52b1f042fae59bfcff
7yyekJa5BB1YyKlQiJCPAV,Simon Dinnigan,classical guitar,https://i.scdn.co/image/ab67616d0000b273d951b9ffaff3fc294fd938dd
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,album rock,https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa
2SinZCr8ALzjsDWStk1p34,The Guild League,twee pop,https://i.scdn.co/image/ab67616d0000b273e6fae365df6b545dfdb5228f
36YE6h8aN09ZKG4EhneDSf,Joe Lovano,contemporary post-bop,https://i.scdn.co/image/ab6761610000e5eb375e46b73b1cfecb48bc35ae
2gSskdDhLQCx3CQd6XKDhp,Bukka White,acoustic blues,https://i.scdn.co/image/ab67616d0000b273c64cc04c0e185dc5f88156a2
5tIXFM4sGNRR4Oo3hLbFdf,Mick Flannery,cork indie,https://i.scdn.co/image/ab6761610000e5ebd5f08e3bee16a1acd908d4f3
244AFgFclA9c1IcjWOAqoV,Joshua Burnside,indie folk,https://i.scdn.co/image/ab6761610000e5ebc12feb659a565ee3c54739d8
4y6J8jwRAwO4dssiSmN91R,Muddy Waters,blues,https://i.scdn.co/image/b4ccc4c928c953fbe755c88c4774df70db977a5c
2s6JabvZdqVQhfOsaxCSFX,Bert Kaempfert,ballroom,https://i.scdn.co/image/ab6761610000e5eb9d24fe39fd48d3207f901a86
3HJzLaMbS0jMabxS3wttGk,Esbjörn Svensson Trio,contemporary jazz,https://i.scdn.co/image/a0fdbe224e832ac6a22121983ca30603a1043a96
5j4HeCoUlzhfWtjAfM1acR,Stromae,belgian pop,https://i.scdn.co/image/ab6761610000e5eb5e22bd1057446fccb9fce27c
23ymPLjbtAMzTJS2qRtQ8Z,Sébastien Tellier,downtempo,https://i.scdn.co/image/ab6761610000e5eb1d53b1ceb53c86fb920c4312
1HVwzNriKEjaeE06okqSpx,Carla Bruni,chanson,https://i.scdn.co/image/ab6761610000e5eb1d05c17e7271984b1e009d6f
1myZw5gJTFWZUrqv4Qdq2E,Mina Tindle,french indie folk,https://i.scdn.co/image/ab6761610000e5eb5063b6ece0bd509289cdba76
5Z1XZyEFY0dewG8faEIiEx,Django Reinhardt,french jazz,https://i.scdn.co/image/ab6761610000e5ebc97909d061299645edfdbe5c
2HALYSe657tNJ1iKVXP2xA,Johnny Hallyday,chanson,https://i.scdn.co/image/ab6761610000e5ebcdfaeaab2e632fdafcdbd585
7bSwWhMO3SGjXUbUljIeH2,Pamelo Mounk'a,soukous,https://i.scdn.co/image/ab67616d0000b273f2ca77bb01e3f6c66c6c1639
2VsTgQUocqoaXjLG5YerlB,Herbert Léonard,chanson,https://i.scdn.co/image/c5ecfc4c4cd9bbb1ca454309441e4312dd13d540
2Vz3AN2wY3xjS2jCaGMVsy,Little Green Cars,irish rock,https://i.scdn.co/image/066f9c6da51f025b09d6143ca9f62946ea26906a
35o58Gfmj3W9t641sufYep,The Jepettos,northern irish indie,https://i.scdn.co/image/ab6761610000e5ebd656ebbe6a209cebfd62cfb9
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,neo mellow,https://i.scdn.co/image/ab6761610000e5eb9555a0b3231117c8cde1fca7
2IAZ2xX1Ovh5jxhBWE7wda,Donavon Frankenreiter,,https://i.scdn.co/image/ab6761610000e5eb39566ca17a6bac6445e93cf0
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,contemporary vocal jazz,https://i.scdn.co/image/ab6761610000e5eba1ca752874c720741f6882b3
4ehTiskY9ukAe0Xug092L7,Chris Hordijk,deep talent show,https://i.scdn.co/image/ab6761610000e5eb3a7e49e6fd727e69e92b8177
6prmLEyn4LfHlD9NnXWlf7,Adam Lambert,dance pop,https://i.scdn.co/image/ab6761610000e5eb28db24a4bb179c012b8ba113
7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,acoustic cover,https://i.scdn.co/image/ab6761610000e5ebaa5fdba75703df74c3be99a7
7h4j9YTJJuAHzLCc3KCvYu,Kina Grannis,acoustic pop,https://i.scdn.co/image/ab6761610000e5ebe925f14dffbe7d1d631ec33e
7x5rK9BClDQ8wmCkYAGsQp,Paolo Nutini,british soul,https://i.scdn.co/image/ab6761610000e5eb5b30c7c50a4dc96f5d5872d5
0hEurMDQu99nJRq8pTxO14,John Mayer,neo mellow,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835
2ODUxmFxJSyvGiimNhMHbO,Johnny Winter,blues,https://i.scdn.co/image/49d41e640134e0247ee9f6cce849bc36395273bd
