id,name,uri,album_image_url,release_date,artist,artist_id,genre
010uwP3UU4UBuYfr3oLCXH,"Relaxing Water Sounds Mountain River to help you Sleep, Study or for Stress Relief 8 Hours",spotify:episode:010uwP3UU4UBuYfr3oLCXH,https://i.scdn.co/image/ab6765630000ba8aeec64236bcb18c86882a20ee,2022-01-10,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
6vYORxCVMHEo71eTCgUeOS,Som de Chuva Original para dormir,spotify:episode:6vYORxCVMHEo71eTCgUeOS,https://i.scdn.co/image/18fca19ccf766c6ab0cab45e73abc8245a75f03e,2021-02-15,Chuva pra dormir ,3Ckwtsi1CNJPncRPzMNz5c,podcast
6ihv18UkkSS4gqgjmF046U,Gentle Rain Sounds 8 Hours I for Relaxation or Sleep,spotify:episode:6ihv18UkkSS4gqgjmF046U,https://i.scdn.co/image/ab6765630000ba8abdd2e8a8a8417b9ee265b29d,2020-08-21,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
4hRyembt2d5WcorJGFQ7u7,Scrum Guide 2020,spotify:episode:4hRyembt2d5WcorJGFQ7u7,https://i.scdn.co/image/ab6765630000ba8a21a4e53e14beb853657497bb,2020-11-19,All Agile Guides,7xd5cwmT1LLH53GmNfrD84,podcast
1YRtpMYLOvWpPcy80FR9Oo,Scrum e Kanban: O papel do UX em métodos ágeis com Mauricio Tadini - Episódio 028,spotify:episode:1YRtpMYLOvWpPcy80FR9Oo,https://i.scdn.co/image/ab6765630000ba8abbb3df402c085e9b48b3bc7b,2021-05-17,Papo de UX,32hSv5mp77ocPcd3fPrLjU,podcast
4iWvHLZZ9tAbilmIcIXfnS,An introduction to Lean UX,spotify:episode:4iWvHLZZ9tAbilmIcIXfnS,https://i.scdn.co/image/c9e85546e074123eda22c39789d45a3187582216,2015-10-29,The Boagworld UX Show,2jZTurffCyIe4F71EAcUQG,podcast
03oHZFon4UOXNoOvhfHEyi,Time Series Forecasting no Grupo Boticário - Data Hackers Podcast 46,spotify:episode:03oHZFon4UOXNoOvhfHEyi,https://i.scdn.co/image/ab6765630000ba8ae748f64b3143744883cfdeeb,2021-10-01,Data Hackers,1oMIHOXsrLFENAeM743g93,podcast
2RKlhXXy18eRCmcCHTk2Ns,SDS 463: Time Series Analysis,spotify:episode:2RKlhXXy18eRCmcCHTk2Ns,https://i.scdn.co/image/ab6765630000ba8a79b33b632dbf08553545de92,2021-04-20,Super Data Science Podcast with Jon Krohn,1n8P7ZSgfVLVJ3GegxPat1,podcast
3rytFydSvyju2pdAa8rw3N,Long Term Time Series Forecasting,spotify:episode:3rytFydSvyju2pdAa8rw3N,https://i.scdn.co/image/ab6765630000ba8a819ac7f6d34238e5aec1b79e,2021-10-25,Data Skeptic,1BZN7H3ikovSejhwQTzNm4,podcast
6OM8BtyNk5vqNmJMHxFghf,It's time to talk time series (Practical AI #62),spotify:episode:6OM8BtyNk5vqNmJMHxFghf,https://i.scdn.co/image/e7afa3e3cc009d133446a237bf4446832332db6e,2019-10-28,Changelog Master Feed,0S1h5K7jm2YvOcM7y1ZMXY,podcast
